"Codigo_dpto","Departamento","Cod_municipio","Municipio","Latitud","Longitud","Sexo","Fecha beneficio ó Inicio","Clasificacion Academica","Entidad Organización","Programa","Modalidad","Beneficio"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 08 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Administración","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 14 12:00:00 AM","Tecnología","Universidad Nacional Abierta y a Distancia","Tecnología en seguridad y salud en el trabajo","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 11 12:00:00 AM","Profesional","Universidad Santiago de Cali","Derecho","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 14 12:00:00 AM","Tecnología","Universidad Nacional Abierta y a Distancia","Tecnología en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 14 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Administración Ambiental y de los Recursos Naturales","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 09 12:00:00 AM","Profesional","Universidad Santiago de Cali","Administración de Empresas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 08 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Publicidad en Medios Digitales","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 14 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Profesional en seguridad y salud en el trabajo","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 15 12:00:00 AM","Profesional","Institución Universitaria Antonio José Camacho","Administración en Salud","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 15 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Profesional en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 09 12:00:00 AM","Profesional","Universidad Santiago de Cali","Derecho","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 08 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Ingeniería Industrial","Virtual","Incentivo completo"
