"id_solicitud","Fecha_creación","Tipo_solicitud","Es_anonima","Tipo_persona","Estado","Fue_delegada","Fecha_ delego","Fecha_cierre"
"40,048,047,001","29 julio 2020 02:54:03","Solicitud de información","NO","Persona jurídica","Cerrada","NO","N/A","19 enero 2021 06:28:04"
"40,038,058,902","24 julio 2020 08:44:55","Petición","NO","Persona jurídica","Cerrada","NO","N/A","19 enero 2021 06:00:38"
"30,072,801,806","16 julio 2020 08:19:21","Sugerencia","NO","Persona jurídica","Cerrada","NO","N/A","19 enero 2021 05:50:46"
"30,062,430,002","12 junio 2020 12:40:18","Petición","NO","Persona natural","Cerrada","NO","N/A","19 enero 2021 05:41:20"
"30,058,648,602","22 mayo 2020 06:43:39","Petición","NO","Persona jurídica","Cerrada","NO","N/A","19 enero 2021 05:42:07"
"30,048,133,502","16 mayo 2020 10:46:49","Petición","NO","Persona jurídica","Cerrada","NO","N/A","19 enero 2021 06:03:40"
"30,039,453,401","12 mayo 2020 04:49:48","Solicitud de información","NO","Persona natural","Cerrada","NO","N/A","19 enero 2021 05:34:23"
"20,059,563,902","24 abril 2020 05:40:17","Petición","NO","Persona natural","Cerrada","NO","N/A","19 enero 2021 05:33:10"
"20,047,044,001","10 marzo 2020 12:34:58","Solicitud de información","NO","Persona natural","Cerrada","SI","N/A","03 noviembre 2020 05:01:55"
"20,039,644,702","03 marzo 2020 04:30:43","Petición","NO","Persona natural","Cerrada","SI","N/A","19 noviembre 2020 12:00:32"
"10,034,835,202","17 febrero 2020 09:26:05","Petición","NO","Persona natural","Cerrada","SI","N/A","27 marzo 2020 01:01:01"
"100,201","14 agosto 2019 12:00:41","Solicitud de información","NO","Persona natural","Cerrada","NO","N/A","07 noviembre 2019 10:50:34"
"202","06 abril 2019 03:50:38","Petición","NO","Persona natural","Cerrada","SI","N/A","27 marzo 2020 12:55:28"
"102","06 abril 2019 03:28:51","Petición","NO","Persona natural","Cerrada","SI","N/A","27 marzo 2020 12:54:54"
